train_dataset,test_dataset,pheno,num_train,num_test,pos_rate,sig_ground_truth,r_ground_truth
abcd,hbn,attn,1165,488,0.0514,0.0,-0.0094976197272978
abcd,hbn,attn,1165,652,0.0574,0.0,-0.0094976197272978
abcd,hbn,attn,1165,872,0.0595,0.0,-0.0094976197272978
abcd,hbn,attn,1165,1150,0.06,0.0,-0.0094976197272978
abcd,hbn,attn,1558,20,0.0502,0.0,-0.0094976197272978
abcd,hbn,attn,1558,27,0.0521,0.0,-0.0094976197272978
abcd,hbn,attn,1558,36,0.0453,0.0,-0.0094976197272978
abcd,hbn,attn,1558,48,0.0475,0.0,-0.0094976197272978
abcd,hbn,attn,1558,64,0.0531,0.0,-0.0094976197272978
abcd,hbn,attn,1558,85,0.055,0.0,-0.0094976197272978
abcd,hbn,attn,1558,114,0.0504,0.0,-0.0094976197272978
abcd,hbn,attn,1558,153,0.0559,0.0,-0.0094976197272978
abcd,hbn,attn,1558,204,0.0555,0.0,-0.0094976197272978
abcd,hbn,attn,1558,273,0.0599,0.0,-0.0094976197272978
abcd,hbn,attn,1558,365,0.0624,0.0,-0.0094976197272978
abcd,hbn,attn,1558,488,0.0635,0.0,-0.0094976197272978
abcd,hbn,attn,1558,652,0.064,0.0,-0.0094976197272978
abcd,hbn,attn,1558,872,0.0669,0.0,-0.0094976197272978
abcd,hbn,attn,1558,1150,0.08,0.0,-0.0094976197272978
abcd,hbn,attn,2083,20,0.05,0.0,-0.0094976197272978
abcd,hbn,attn,2083,27,0.0501,0.0,-0.0094976197272978
abcd,hbn,attn,2083,36,0.0461,0.0,-0.0094976197272978
abcd,hbn,attn,2083,48,0.0445,0.0,-0.0094976197272978
abcd,hbn,attn,2083,64,0.0534,0.0,-0.0094976197272978
abcd,hbn,attn,2083,85,0.0545,0.0,-0.0094976197272978
abcd,hbn,attn,2083,114,0.05,0.0,-0.0094976197272978
abcd,hbn,attn,2083,153,0.0527,0.0,-0.0094976197272978
abcd,hbn,attn,2083,204,0.053,0.0,-0.0094976197272978
abcd,hbn,attn,2083,273,0.0575,0.0,-0.0094976197272978
abcd,hbn,attn,2083,365,0.0601,0.0,-0.0094976197272978
abcd,hbn,attn,2083,488,0.062,0.0,-0.0094976197272978
abcd,hbn,attn,2083,652,0.0657,0.0,-0.0094976197272978
abcd,hbn,attn,2083,872,0.0675,0.0,-0.0094976197272978
abcd,hbn,attn,2083,1150,0.06,0.0,-0.0094976197272978
abcd,hbn,attn,2784,20,0.0508,0.0,-0.0094976197272978
abcd,hbn,attn,2784,27,0.0472,0.0,-0.0094976197272978
abcd,hbn,attn,2784,36,0.0424,0.0,-0.0094976197272978
abcd,hbn,attn,2784,48,0.0437,0.0,-0.0094976197272978
abcd,hbn,attn,2784,64,0.0466,0.0,-0.0094976197272978
abcd,hbn,attn,2784,85,0.048,0.0,-0.0094976197272978
abcd,hbn,attn,2784,114,0.0389,0.0,-0.0094976197272978
abcd,hbn,attn,2784,153,0.0436,0.0,-0.0094976197272978
abcd,hbn,attn,2784,204,0.043,0.0,-0.0094976197272978
abcd,hbn,attn,2784,273,0.0449,0.0,-0.0094976197272978
abcd,hbn,attn,2784,365,0.0461,0.0,-0.0094976197272978
abcd,hbn,attn,2784,488,0.0465,0.0,-0.0094976197272978
abcd,hbn,attn,2784,652,0.0432,0.0,-0.0094976197272978
abcd,hbn,attn,2784,872,0.0426,0.0,-0.0094976197272978
abcd,hbn,attn,2784,1150,0.05,0.0,-0.0094976197272978
abcd,hbn,attn,3722,20,0.0486,0.0,-0.0094976197272978
abcd,hbn,attn,3722,27,0.0453,0.0,-0.0094976197272978
abcd,hbn,attn,3722,36,0.0417,0.0,-0.0094976197272978
abcd,hbn,attn,3722,48,0.0427,0.0,-0.0094976197272978
abcd,hbn,attn,3722,64,0.0468,0.0,-0.0094976197272978
abcd,hbn,attn,3722,85,0.0446,0.0,-0.0094976197272978
abcd,hbn,attn,3722,114,0.0371,0.0,-0.0094976197272978
abcd,hbn,attn,3722,153,0.0371,0.0,-0.0094976197272978
abcd,hbn,attn,3722,204,0.038,0.0,-0.0094976197272978
abcd,hbn,attn,3722,273,0.0384,0.0,-0.0094976197272978
